中文名稱、英文名稱、代碼
阿拔泉溪,Abaqyuan River,AB
阿公店溪,Agongdian River,AG
隘寮溪,Ailiao River,AI
隘寮北溪,Ailiaobei River,AL
隘寮南溪,Ailiaonan River,AA
阿里不動溪,Alibudong River,AU
阿里山溪,Alishan River,AS
阿眉溪,Amei River,AM
安農溪,Annong River,AN
安通溪,Antong River,AT
阿夜西溪,Ayexi River,AY
白水溪,Baishui River,BA
白樹腳溪,Baishujiao River,BI
芭蕉溪,Bajiao River,BJ
邦腹溪,Bangfu River,BN
寶來溪,Baolai River,BO
八掌溪,Bazhang River,BZ
拔仔岡溪,Bazigang River,BG
北港溪,Beigang River,BE
北溝溪,Beigou River,BU
卑南溪,Beinan River,BB
鱉溪,Bie River,BC
筆石溪,Bishi River,BS
菜寮溪,Cailiao River,CA
蒼庫溪,Cangku River,CN
草湖溪,Caohu River,CO
樟平溪,Changping River,CH
陳有蘭溪,Chenyoulan River,CE
赤蘭溪,Chilan River,CI
粗坑溪,Cukeng River,CU
大安溪,Daan River,DA
大肚滑溪,Daduhua River,DD
打狗溪,Dagou River,DG
大漢溪,Dahan River,DH
大湖溪,Dahu River,DU
大湖口溪,Dahukou River,DK
大甲溪,Dajia River,DJ
大礁溪,Dajiao River,DI
大坑溪,Dakeng River,DE
大里溪,Dali River,DL
大崙溪,Dalun River,DN
打馬溝溪,Damagou River,DM
丹大溪,Danda River,DB
大坪溪,Daping River,DP
大坡溪,Dapo River,DO
大埔溪,Dapu River,DC
頂粗坑溪,Dingcukeng River,DF
頂埔溪,Dingpu River,DQ
東港溪,Donggang River,DR
東河溪,Donghe River,DS
東壘溪,Donglei River,DT
東埔蚋溪,Dongpurui River,DV
東廣寮溪,Donguangliao River,DW
峨眉溪,Emei River,EM
二重疏洪道,Erchong Floodway,ER
二仁溪,Erren River,EE
梵梵溪,Fanfan River,FA
番子路科溪,Fanziluke River,FN
筏子溪,Fazi River,FZ
飛鳳溪,Feifeng River,FE
楓溪,Feng River,FG
鳳林溪,Fenglin River,FL
豐坪溪,Fengping River,FP
鳳山溪,Fengshan River,FS
夫布爾溪,Fubuer River,FU
呂範溪,Fufan River,FF
富興溪,Fuxing River,FX
富源溪,Fuyuan River,FY
乾溪,Gan River,GA
柑仔坑溪,Ganzikeng River,GN
